_0x0                                                             0x0-2018-06-24
asciidoc-full                                                    asciidoc-full-8.6.9
asciidoc-full-with-plugins                                       asciidoc-full-with-plugins-8.6.9
asciidoctor                                                      asciidoctor-1.5.7.1
asciinema                                                        asciinema-2.0.2
asciiquarium                                                     asciiquarium-1.1
asdf_2_26                                                        asdf-2.26
asdf_3_1                                                         asdf-3.1.7
asdf                                                             asdf-3.3.2
aseprite                                                         aseprite-1.1.7
aseprite-unfree                                                  aseprite-1.2.9
asio_1_10                                                        asio-1.10.8
asio                                                             asio-1.12.1
asmfmt                                                           asmfmt-1.1
asn1c                                                            asn1c-0.9.28
asn2quickder                                                     asn2quickder-1.2-6
aspcud                                                           aspcud-1.9.4
aspectj                                                          aspectj-1.5.2
aspell                                                           aspell-0.60.6.1
aspellDicts.af                                                   aspell-dict-af-0.50-0
aspellDicts.am                                                   aspell-dict-am-0.03-1
aspellDicts.ar                                                   aspell-dict-ar-1.2-0
aspellDicts.ast                                                  aspell-dict-ast-0.01
aspellDicts.az                                                   aspell-dict-az-0.02-0
aspellDicts.be                                                   aspell-dict-be-0.01
aspellDicts.bg                                                   aspell-dict-bg-4.1-0
aspellDicts.bn                                                   aspell-dict-bn-0.01.1-1
aspellDicts.br                                                   aspell-dict-br-0.50-2
aspellDicts.ca                                                   aspell-dict-ca-2.1.5-1
aspellDicts.cs                                                   aspell-dict-cs-20040614-1
aspellDicts.csb                                                  aspell-dict-csb-0.02-0
aspellDicts.cy                                                   aspell-dict-cy-0.50-3
aspellDicts.da                                                   aspell-dict-da-1.4.42-1
aspellDicts.de                                                   aspell-dict-de-20030222-1
aspellDicts.de-alt                                               aspell-dict-de-alt-2.1-1
aspellDicts.el                                                   aspell-dict-el-0.08-0
aspellDicts.en                                                   aspell-dict-en-2018.04.16-0
aspellDicts.en-computers                                         aspell-dict-en-computers
aspellDicts.en-science                                           aspell-dict-en-science
aspellDicts.eo                                                   aspell-dict-eo-2.1.20000225a-2
aspellDicts.es                                                   aspell-dict-es-1.11-2
aspellDicts.et                                                   aspell-dict-et-0.1.21-1
aspellDicts.fa                                                   aspell-dict-fa-0.11-0
aspellDicts.fi                                                   aspell-dict-fi-0.7-0
